item_id,price,age,customer_name,customer_email,Age_Group,Customer_Type,Price_Range,Customer_Status
717.0,275.1198416063562,41.0,Mr.SeanToyDDS,Susie_Shanahan@gmail.com,36-45,medium spender,medium,Active
159.0,474.5706859673373,42.0,Mr.FrancisHeller-Metz,Casper_Schneider@hotmail.com,36-45,high spender,high,Active
5.0,125.0,65.0,KelleyAdams,Orin_Raynor@hotmail.com,56-65,medium spender,medium,Active
88.0,788.532827924937,19.0,FreddieGutkowski,Braulio.Morar12@hotmail.com,18-25,high spender,high,Active
119.0,224.80148473288864,36.0,MaryJacobi,Charlotte63@gmail.com,36-45,medium spender,medium,inactive
45.0,549.2282797466032,53.0,CathyBreitenbergII,Kristopher90@hotmail.com,46-55,high spender,high,Active
948.0,31.621499790344387,54.0,JeremyFraneyJr.,Louie.Ferry62@gmail.com,46-55,low spender,low,inactive
239.0,419.34490436920896,38.0,BernardKuhn,Patsy_Sipes97@gmail.com,36-45,high spender,high,Active
826.0,927.1692707040348,38.0,ReginaldRowe,Rashawn.Nicolas@hotmail.com,36-45,high spender,high,Active
554.0,847.2915273741819,45.0,JosephineHowe,Georgiana_Walker68@hotmail.com,46-55,high spender,high,Active
989.0,159.25222907215357,40.0,AbelBoehm,Cathy_Kris53@yahoo.com,36-45,medium spender,medium,inactive
415.0,96.07633749954402,54.0,DarylHicklePhD,Rolando_Grimes64@yahoo.com,46-55,low spender,low,Active
403.0,399.837892644573,53.0,LorenzoSporerPhD,Lilliana_Shields@hotmail.com,46-55,medium spender,medium,Active
672.0,223.5697915754281,56.0,IdaGrimes-Langosh,Kiley69@gmail.com,46-55,medium spender,medium,Active
936.0,137.35369036672637,48.0,IvanO'Connell,Erick_Gutmann82@gmail.com,46-55,medium spender,medium,inactive
845.0,1.0,69.0,PeterMillerDVM,Alison93@hotmail.com,66+,low spender,low,Active
82.0,313.9573574298993,27.0,ChristopherGreenfelder-Nienow,Violet25@hotmail.com,26-35,medium spender,medium,Active
933.0,487.32185328844935,19.0,SophieKunze,Ubaldo_Price@yahoo.com,18-25,high spender,high,Inactive
5.0,653.5946556925774,65.0,KelleyAdams,Orin_Raynor@hotmail.com,56-65,high spender,high,Active
88.0,7.0,19.0,FreddieGutkowski,Braulio.Morar12@hotmail.com,18-25,low spender,low,inactive
33.0,224.57534050336108,70.0,MonaMcClure,Mason_Crooks90@hotmail.com,66+,medium spender,medium,Active
403.0,248.416181106586,61.0,Mrs.LeticiaDickens,Maxwell.Legros@hotmail.com,56-65,medium spender,medium,Active
509.0,51.0,20.0,RubenGulgowski-Kulas,Easton_Dach-Emard5@yahoo.com,18-25,low spender,low,inactive
520.0,1300.0,30.0,JuanitaWitting,Jaycee48@hotmail.com,26-35,high spender,high,inactive
67.0,626.7118702130392,37.0,RosalieMante,Molly.Funk@gmail.com,36-45,high spender,high,inactive
813.0,4.0,60.0,DennisSchinner,Aric_Braun1@hotmail.com,56-65,low spender,low,inactive
871.0,969.0708725363947,30.0,EmmaYost,Prudence_Yost93@gmail.com,26-35,high spender,high,Active
258.0,2.0,33.0,CarolineReichert,Curtis.Jacobi-Mohr@gmail.com,26-35,low spender,low,inactive
459.0,850.9875171002932,21.0,EliasHane,Nelle.Frami@yahoo.com,18-25,high spender,high,Active
355.0,594.4737342675216,20.0,JacquelynHirthe-Rolfson,Ursula40@yahoo.com,18-25,high spender,high,Active
813.0,372.4559213919565,60.0,DennisSchinner,Aric_Braun1@hotmail.com,56-65,medium spender,medium,inactive
813.0,37.0,60.0,DennisSchinner,Aric_Braun1@hotmail.com,56-65,low spender,low,inactive
420.0,560.5493681551889,36.0,AudreyBode,Hyman_Ondricka25@hotmail.com,36-45,high spender,high,inactive
119.0,2.0,36.0,MaryJacobi,Charlotte63@gmail.com,36-45,low spender,low,Active
670.0,321.3535536918789,18.0,TerriFerry,Marge46@gmail.com,18-25,medium spender,medium,inactive
745.0,573.6097702663392,22.0,Dr.TimothyGusikowski,Adrianna_Hirthe@yahoo.com,18-25,high spender,high,inactive
786.0,-100.0,37.0,ClintonKub,Demarcus_Klocko85@gmail.com,36-45,low spender,low,inactive
945.0,56.65605068439618,60.0,AgnesLangosh,Morgan.Flatley30@yahoo.com,56-65,low spender,low,inactive
883.0,186.0,35.0,Mrs.RickeyReinger,Davida92@gmail.com,26-35,medium spender,medium,Active
63.0,854.5317625221027,27.0,MarilynDach,Cornelius63@gmail.com,26-35,high spender,high,inactive
262.0,507.0,30.0,Mr.FrancisBauch,Briana_Kunze89@gmail.com,26-35,high spender,high,Active
831.0,576.0,61.0,ColleenSchneider,Ericka.McCullough22@gmail.com,56-65,high spender,high,Active
96.0,204.12896830952496,32.0,Mr.TonyKrajcik,Colin_Marks@gmail.com,26-35,medium spender,medium,Active
220.0,813.4041950999876,40.0,SaraHarris,Eugenia72@yahoo.com,36-45,high spender,high,Active
560.0,905.214314573056,31.0,PaulaBergstrom,Oren98@yahoo.com,26-35,high spender,high,Active
1000.0,1000.0,30.0,Mr.FrancisBauch,Briana_Kunze89@gmail.com,26-35,high spender,high,Active
